Iteration,Noise Level,Basis Shape Error (%),Basis Motion Error (%),Rotation Shape Error (%),Rotation Motion Error (%),,Basis,Rotation
271,0.271,115.5829492,99.71728518,119.2111704,99.88858334,,1,0
272,0.272,118.0578984,99.54609423,113.5726817,99.41024878,,0,1
273,0.273,132.6127992,100.6837114,132.4309522,100.6691328,,0,1
274,0.274,124.3331017,100.6197905,115.8679248,100.176021,,0,1
275,0.275,126.648651,100.4018752,128.1658881,100.4984361,,1,0
276,0.276,128.3328568,100.2489913,130.8407749,100.3798618,,1,0
277,0.277,128.0561562,100.1210724,130.1862329,100.1674892,,1,0
278,0.278,112.9020455,99.70718763,112.7381395,99.44337108,,0,1
279,0.279,113.6253302,99.9625737,120.7243611,100.2606172,,1,0
280,0.28,127.4429788,100.6176877,126.3940993,100.6159075,,0,1
281,0.281,116.7178651,99.91572612,124.501049,100.1551203,,1,0
282,0.282,123.3919958,99.94210092,115.997023,99.54183341,,0,1
283,0.283,118.7765356,99.66263749,122.8550641,99.71392109,,1,0
284,0.284,116.9535857,99.85220753,122.4833874,100.2291515,,1,0
285,0.285,113.5431819,99.6484753,113.3907113,99.62527024,,0,1
286,0.286,126.399861,99.88865777,124.4910313,99.87558244,,0,1
287,0.287,120.9379753,100.1114866,122.4420689,100.214348,,1,0
288,0.288,125.4427856,100.1214379,121.3944701,99.9918014,,0,1
289,0.289,124.4874327,100.4206957,117.2354288,100.1092704,,0,1
290,0.29,115.4168631,99.83417904,118.2539787,100.0243612,,1,0
291,0.291,112.2721407,99.5314982,113.6551749,99.48877926,,0,1
292,0.292,111.0200561,99.90058048,113.2708604,99.94075802,,1,0
293,0.293,118.8602449,99.67491287,113.1498069,99.47885001,,0,1
294,0.294,120.2510831,99.96416142,123.9713946,100.2065703,,1,0
295,0.295,120.3524242,100.1098023,120.4703396,100.3865852,,1,0
296,0.296,122.2559705,100.3879802,124.9565785,100.6152848,,1,0
297,0.297,115.5262257,99.76004954,118.6606116,99.79620679,,1,0
298,0.298,113.1911834,99.77802439,112.5792444,99.71718787,,0,1
299,0.299,118.058313,99.7103195,117.1136859,99.73106496,,1,0
300,0.3,114.536038,99.77975015,113.3596611,99.72767666,,0,1
301,0.301,123.4750943,100.4414001,120.033218,100.3090414,,0,1
302,0.302,117.7172332,99.94230469,114.0343143,99.74632564,,0,1
303,0.303,122.9409703,99.69481292,124.3265079,99.82343893,,1,0
304,0.304,123.7546025,100.0068423,114.7112405,99.7704852,,0,1
305,0.305,116.07097,99.81759645,116.8802837,99.93981191,,1,0
